track_id,album_listens,album_comments,artist_favorites,artist_comments,track_interest,track_favorites,track_listens
206,894,0,7,1,510,2,87
207,12333,0,7,1,2811,0,609
208,12333,0,7,1,1239,0,397
209,12333,0,7,1,1276,0,351
210,12333,0,7,1,3706,1,1824
211,12333,0,7,1,16106,3,1714
212,12333,0,7,1,2299,2,551
213,1148,0,11,1,2828,10,1148
226,2677,0,0,0,2764,4,1351
228,2677,0,0,0,2467,2,1366
236,7702,0,5,3,11240,24,7668
237,2544,0,14,3,1391,7,1276
238,2544,0,14,3,1394,1,1277
246,3116,0,27,7,1650,7,1328
247,5613,0,27,7,1549,3,532
248,2180,0,27,7,1345,2,747
249,5613,0,27,7,1470,3,425
250,2180,0,27,7,875,3,594
251,2180,0,27,7,1122,5,855
252,5613,0,27,7,512,2,374
253,3116,0,27,7,1647,4,1045
254,3116,0,27,7,2418,4,744
255,5613,0,27,7,5585,24,4495
256,4418,0,3,0,2864,3,2311
257,4418,0,3,0,2177,3,766
258,4418,0,3,0,1779,2,1350
273,767,0,35,0,255,0,193
274,2972,1,35,0,670,4,593
275,801,0,35,0,332,1,247
276,421,1,35,0,220,1,129
277,801,0,35,0,329,1,233
281,2972,1,35,0,2202,11,2114
282,421,1,35,0,229,1,126
284,767,0,35,0,229,0,136
285,801,0,35,0,339,1,324
293,767,0,35,0,256,0,167
294,421,1,35,0,281,2,169
297,2972,1,35,0,456,4,330
300,767,0,35,0,406,0,276
303,2060,0,20,8,159,0,89
304,3439,0,20,8,241,0,167
305,4250,4,20,8,2873,0,2605
306,2060,0,20,8,131,0,50
307,2060,0,20,8,289,0,190
308,3439,0,20,8,345,0,260
309,2060,0,20,8,147,0,56
310,4250,4,20,8,194,0,109
311,3439,0,20,8,1597,0,1484
312,2060,0,20,8,833,0,748
313,3439,0,20,8,141,0,70
314,2060,0,20,8,142,0,69
315,4250,4,20,8,383,0,297
316,4250,4,20,8,156,0,90
317,3439,0,20,8,322,0,241
318,11086,0,20,8,209,0,153
319,2060,0,20,8,422,0,325
320,4250,4,20,8,406,0,309
321,3439,0,20,8,693,0,487
322,2060,0,20,8,386,1,304
323,2060,0,20,8,171,0,94
324,3439,0,20,8,185,0,106
325,4250,4,20,8,300,2,217
326,3439,0,20,8,286,0,228
327,3439,0,20,8,234,0,164
328,3439,0,20,8,328,0,254
330,2060,0,20,8,146,0,58
331,2060,0,20,8,187,0,105
332,11086,0,20,8,139,0,76
333,11086,0,20,8,423,0,322
334,11086,0,20,8,405,0,388
335,11086,0,20,8,303,1,225
336,11086,0,20,8,226,0,144
337,11086,0,20,8,279,0,195
338,11086,0,20,8,196,0,160
339,11086,0,20,8,177,0,118
340,11086,0,20,8,363,0,281
341,11086,0,20,8,1498,0,1629
342,11086,0,20,8,240,0,165
343,11086,0,20,8,5683,0,192
344,11086,0,20,8,190,0,111
345,11086,0,20,8,326,0,251
346,11086,0,20,8,252,0,181
347,11086,0,20,8,202,0,71
348,11086,0,20,8,132,0,97
349,11086,0,20,8,191,0,125
350,11086,0,20,8,168,1,90
351,11086,0,20,8,269,1,150
352,11086,0,20,8,609,0,505
353,11086,0,20,8,212,1,139
354,11086,0,20,8,186,1,108
355,11086,0,20,8,133,0,65
356,11086,0,20,8,179,0,144
357,11086,0,20,8,215,1,165
358,11086,0,20,8,294,0,182
359,11086,0,20,8,130,0,62
360,11086,0,20,8,332,1,255
361,11086,0,20,8,140,0,65
362,11086,0,20,8,131,0,59
363,11086,0,20,8,184,0,98
364,11086,0,20,8,113,0,47
365,11086,0,20,8,445,0,326
366,11086,0,20,8,141,0,67
367,11086,0,20,8,139,0,55
368,11086,0,20,8,3572,1,2281
369,11086,0,20,8,2366,0,1551
370,11086,0,20,8,173,0,71
371,11086,0,20,8,114,0,47
384,1763,0,11,2,1343,3,351
385,1763,0,11,2,1788,4,843
386,1763,0,11,2,1630,2,289
387,1763,0,11,2,1387,2,294
393,942,0,0,0,866,0,424
394,942,0,0,0,689,0,280
395,942,0,0,0,619,0,244
396,1931,0,8,0,808,1,188
397,1931,0,8,0,3102,1,427
398,6068,0,8,0,1957,2,587
399,6068,0,8,0,1876,2,520
400,1931,0,8,0,2864,1,587
401,1931,0,8,0,2163,1,157
402,1931,0,8,0,1508,1,55
403,808,0,8,0,2582,1,558
404,1931,0,8,0,1478,2,392
405,6068,0,8,0,1458,4,378
406,1931,0,8,0,1369,2,148
407,6068,0,8,0,713,3,177
408,808,0,8,0,1093,1,254
410,6068,0,8,0,754,1,213
411,6068,0,8,0,625,1,185
412,6068,0,8,0,454,2,140
414,6068,0,8,0,3930,17,3737
416,6068,0,8,0,996,1,243
417,5331,0,14,1,477,1,194
418,12580,0,14,1,7458,10,3890
419,5331,0,14,1,461,1,168
420,12580,0,14,1,4479,2,2513
421,5331,0,14,1,367,0,117
422,12580,0,14,1,4306,4,2522
423,12580,0,14,1,5532,4,3092
424,5331,0,14,1,4323,3,3562
425,12580,0,14,1,1409,2,648
426,5331,0,14,1,883,0,117
427,5331,0,14,1,515,0,118
428,5331,0,14,1,924,1,100
429,5331,0,14,1,647,0,72
430,5331,0,14,1,658,0,82
431,5331,0,14,1,1043,0,57
432,5331,0,14,1,1056,1,57
433,5331,0,14,1,1600,0,47
434,5331,0,14,1,1953,0,45
435,5331,0,14,1,1873,0,57
436,5331,0,14,1,683,1,181
437,5331,0,14,1,625,0,122
438,5331,0,14,1,1238,1,82
439,5331,0,14,1,989,0,280
440,4646,1,9,1,2583,0,905
441,4646,1,9,1,1246,2,295
442,4646,1,9,1,864,0,158
443,4646,1,9,1,1495,1,116
444,4646,1,9,1,1575,0,522
445,4646,1,9,1,1182,0,127
446,4646,1,9,1,1621,1,320
447,4646,1,9,1,1082,0,222
448,4646,1,9,1,1267,0,353
449,4646,1,9,1,2226,0,892
450,4646,1,9,1,1121,0,195
451,4646,1,9,1,1052,0,245
452,4646,1,9,1,1491,1,341
458,1233,0,40,6,1824,11,1241
459,7652,1,40,6,11132,45,7765
461,22483,0,16,1,8950,26,4833
462,22483,0,16,1,8485,24,4126
463,22483,0,16,1,8026,18,4096
464,22483,0,16,1,13845,27,4461
465,22483,0,16,1,9670,17,5106
466,2680,0,4,0,319,0,85
467,907,0,4,0,871,0,207
468,1775,0,4,0,631,0,176
469,349,0,4,0,201,0,28
470,907,0,4,0,374,0,82
471,2680,0,4,0,173,1,49
472,191,0,4,0,255,0,21
473,349,0,4,0,258,0,39
474,1775,0,4,0,452,0,139
475,2680,0,4,0,271,0,62
476,191,0,4,0,264,0,29
477,1775,0,4,0,468,0,118
478,907,0,4,0,401,0,60
479,349,0,4,0,590,0,27
480,1775,0,4,0,678,0,149
481,349,0,4,0,888,0,22
482,191,0,4,0,258,0,14
483,907,0,4,0,351,0,83
484,2680,0,4,0,259,0,36
485,1775,0,4,0,418,0,116
486,349,0,4,0,344,0,29
487,2680,0,4,0,1661,0,38
489,191,0,4,0,1234,0,22
490,907,0,4,0,1291,0,218
491,349,0,4,0,1382,0,17
492,907,0,4,0,373,0,95
493,2680,0,4,0,489,0,85
495,1775,0,4,0,1743,0,922
496,191,0,4,0,235,0,23
497,349,0,4,0,254,0,27
498,907,0,4,0,943,0,57
500,191,0,4,0,188,0,22
501,2680,0,4,0,328,0,39
502,1775,0,4,0,740,0,175
503,191,0,4,0,387,1,25
504,349,0,4,0,236,0,29
506,2680,0,4,0,258,0,42
507,907,0,4,0,259,0,71
508,349,0,4,0,622,0,14
509,907,0,4,0,419,0,42
510,191,0,4,0,292,0,38
511,2680,0,4,0,532,0,39
512,2680,0,4,0,2401,2,2002
513,349,0,4,0,2818,0,43
514,349,0,4,0,1137,0,48
515,2680,0,4,0,460,0,120
516,349,0,4,0,308,0,29
517,2680,0,4,0,543,0,94
520,1420,0,4,0,305,0,65
521,1420,0,4,0,518,0,172
522,1420,0,4,0,316,0,50
523,1420,0,4,0,535,1,201
524,1420,0,4,0,429,0,190
525,1420,0,4,0,415,0,112
526,1420,0,4,0,665,0,171
527,1420,0,4,0,313,0,85
528,1420,0,4,0,384,0,59
529,1420,0,4,0,734,0,169
530,1420,0,4,0,408,0,58
531,1420,0,4,0,416,0,109
532,564,0,8,1,533,2,225
533,564,0,8,1,1185,4,341
534,4681,0,9,0,1875,3,614
535,4681,0,9,0,954,1,397
536,4681,0,9,0,843,1,336
537,4681,0,9,0,911,0,367
538,4681,0,9,0,845,0,223
539,4681,0,9,0,675,2,128
540,4681,0,9,0,1757,3,835
541,4681,0,9,0,800,1,113
542,4681,0,9,0,738,0,126
543,4681,0,9,0,715,0,88
544,4681,0,9,0,855,2,213
545,4681,0,9,0,532,0,64
546,4681,0,9,0,1826,1,741
547,4681,0,9,0,670,0,100
548,4681,0,9,0,536,2,119
549,4681,0,9,0,939,0,290
550,2918,0,0,0,2933,5,2632
554,-1,-1,10,2,1256,0,724
555,-1,-1,10,2,193,0,140
556,-1,-1,10,2,211,0,124
557,-1,-1,10,2,191,0,112
558,-1,-1,10,2,285,0,199
559,-1,-1,10,2,186,0,104
560,-1,-1,10,2,225,0,141
561,-1,-1,10,2,302,0,233
562,1733,0,0,0,495,0,127
563,1733,0,0,0,311,0,134
564,1733,0,0,0,998,4,467
565,1733,0,0,0,577,0,93
566,1733,0,0,0,707,0,181
567,1733,0,0,0,431,0,183
568,1733,0,0,0,428,0,110
569,1733,0,0,0,553,0,81
570,1733,0,0,0,410,0,70
571,1733,0,0,0,404,0,157
572,1733,0,0,0,413,0,147
573,3169,0,11,0,1150,5,751
574,3169,0,11,0,3169,11,2617
575,395,0,0,0,350,0,96
576,395,0,0,0,715,1,200
577,395,0,0,0,251,1,55
578,395,0,0,0,314,0,43
579,807,0,2,0,525,2,460
580,807,0,2,0,405,0,349
583,1941,0,1,0,1223,0,536
584,1941,0,1,0,1091,2,858
585,1941,0,1,0,895,2,330
586,1941,0,1,0,679,0,227
587,383,0,7,0,274,1,218
588,529,1,7,0,604,3,530
589,383,0,7,0,227,2,166
590,11035,2,5,0,4397,8,2914
591,11035,2,5,0,3731,7,2624
592,11035,2,5,0,3963,10,2465
593,11035,2,5,0,4806,10,3092
601,76,0,1,0,372,0,76
602,1019,0,1,0,1262,0,660
603,1019,0,1,0,843,0,359
604,352,0,1,0,855,0,352
605,1999,0,7,3,1774,1,935
606,583,0,7,3,1226,1,245
607,583,0,7,3,1620,2,340
608,1999,0,7,3,1980,3,1072
609,418,0,7,3,729,1,418
610,508,0,5,0,1092,1,508
611,369,0,5,0,796,1,370
612,567,0,5,0,988,2,566
613,113,0,0,0,304,0,113
614,-1,-1,5,0,2207,0,1843
615,1410,0,0,0,2016,0,1019
616,1410,0,0,0,1409,0,393
617,2865,0,7,1,807,1,163
618,2865,0,7,1,875,0,101
619,2865,0,7,1,1492,0,361
620,2865,0,7,1,1853,1,922
621,1329,0,7,1,1252,0,678
622,2865,0,7,1,624,0,112
623,2865,0,7,1,886,0,31
624,2865,0,7,1,819,1,83
625,1329,0,7,1,1625,3,655
626,2865,0,7,1,639,0,146
627,2865,0,7,1,734,2,177
628,2865,0,7,1,511,1,130
629,2865,0,7,1,1398,1,257
630,2865,0,7,1,800,1,75
631,2865,0,7,1,1370,2,317
633,1551,0,22,0,997,2,509
634,1551,0,22,0,817,3,272
635,1551,0,22,0,1288,3,774
637,152,0,0,0,599,0,83
638,152,0,0,0,376,0,69
639,55,0,0,0,430,0,55
640,959,0,0,0,1299,5,958
641,1945,0,5,0,812,2,222
642,314,0,5,0,1136,0,193
643,1945,0,5,0,416,0,127
644,314,0,5,0,573,0,121
645,1945,0,5,0,670,0,82
646,1945,0,5,0,730,0,202
647,1945,0,5,0,485,0,189
648,1945,0,5,0,739,0,273
649,1945,0,5,0,614,0,67
650,1945,0,5,0,607,1,151
651,1945,0,5,0,468,0,111
652,1945,0,5,0,1495,0,90
653,1945,0,5,0,564,0,111
654,1945,0,5,0,1405,0,114
655,1945,0,5,0,392,0,77
656,1945,0,5,0,756,1,103
657,1945,0,5,0,1034,1,50
658,444,0,5,0,1502,0,444
659,2565,0,5,0,544,0,219
660,2565,0,5,0,725,0,94
661,2565,0,5,0,406,0,82
662,2565,0,5,0,910,0,260
663,2565,0,5,0,891,0,80
664,2565,0,5,0,3510,0,1835
665,3879,0,5,0,4833,1,3870
666,3883,0,15,1,2614,13,1902
667,3883,0,15,1,2723,15,2005
668,5339,0,3,0,1388,4,856
669,2695,0,3,0,1114,0,589
670,5339,0,3,0,882,0,112
671,2695,0,3,0,593,0,158
672,5339,0,3,0,1145,0,486
673,2695,0,3,0,1665,0,226
674,5339,0,3,0,1179,0,366
675,2695,0,3,0,523,0,97
676,5339,0,3,0,1747,0,1225
677,2695,0,3,0,1071,0,409
678,5339,0,3,0,693,0,91
679,2695,0,3,0,1104,0,315
680,5339,0,3,0,1356,0,642
681,2695,0,3,0,1748,0,292
682,5339,0,3,0,602,0,162
683,2695,0,3,0,545,0,145
684,5339,0,3,0,1110,0,587
685,2695,0,3,0,764,0,117
686,5339,0,3,0,1308,0,539
687,2695,0,3,0,810,0,220
688,5339,0,3,0,922,0,289
689,2695,0,3,0,653,0,138
690,5718,0,18,1,8125,5,5724
691,472,0,18,1,863,0,471
692,573,0,18,1,1039,4,573
693,326,0,18,1,716,0,326
694,7723,0,13,1,7007,17,7883
695,2822,0,13,1,3590,10,2826
696,4226,0,17,1,1752,2,1119
697,4226,0,17,1,868,1,141
698,4226,0,17,1,684,1,409
699,4226,0,17,1,545,1,170
700,4226,0,17,1,906,1,53
701,4226,0,17,1,1907,1,644
702,4226,0,17,1,1762,2,950
703,4226,0,17,1,1464,2,750
704,17169,0,4,0,2181,5,2105
705,17169,0,4,0,3240,7,2545
706,17169,0,4,0,2699,3,1948
707,17169,0,4,0,2170,3,1922
708,17169,0,4,0,4581,33,5007
709,17169,0,4,0,4897,9,3812
711,348,0,0,0,1165,1,157
712,348,0,0,0,498,1,112
713,348,0,0,0,539,0,84
714,1248,0,23,0,1229,4,646
715,5100,0,23,0,1526,10,928
716,5100,0,23,0,1784,5,1252
717,1248,0,23,0,1175,2,603
718,5100,0,23,0,4152,8,3061
719,1005,0,2,0,928,2,245
720,1005,0,2,0,1222,2,326
721,1005,0,2,0,839,1,112
722,1005,0,2,0,707,1,132
723,1005,0,2,0,1098,1,207
725,225,0,3,0,904,0,114
726,522,0,3,0,963,1,187
727,522,0,3,0,447,0,80
728,225,0,3,0,441,0,111
729,522,0,3,0,503,0,97
730,522,0,3,0,384,0,109
731,522,0,3,0,316,0,53
734,14498,3,42,1,7783,7,6190
735,10265,0,42,1,4773,9,2727
736,5704,0,42,1,2558,2,1248
737,7367,1,42,1,3574,5,1316
738,5704,0,42,1,3301,1,1412
739,14498,3,42,1,4002,3,1694
740,7367,1,42,1,4986,10,2139
741,10265,0,42,1,2909,4,1050
742,7367,1,42,1,3320,3,1811
743,14498,3,42,1,3998,2,852
744,10265,0,42,1,2454,2,1065
745,5704,0,42,1,2122,0,712
747,7367,1,42,1,2783,2,737
748,10265,0,42,1,2842,1,880
749,5704,0,42,1,2436,0,682
750,10265,0,42,1,2806,2,967
751,14498,3,42,1,5736,7,2014
752,5704,0,42,1,2904,0,1128
753,7367,1,42,1,1949,1,712
754,7367,1,42,1,2409,1,682
755,14498,3,42,1,4260,4,1542
756,10265,0,42,1,5919,6,1972
757,5704,0,42,1,2489,1,540
758,10265,0,42,1,2615,2,759
759,14498,3,42,1,2728,3,1209
760,14498,3,42,1,2659,2,915
761,10265,0,42,1,3029,1,897
762,10686,0,42,1,2624,0,1118
763,13285,1,42,1,9492,2,5851
764,13285,1,42,1,1796,1,1123
765,10686,0,42,1,2850,0,1824
766,13285,1,42,1,1786,1,947
767,10686,0,42,1,2932,0,1586
768,13285,1,42,1,1550,1,800
769,10686,0,42,1,2663,0,1307
770,13285,1,42,1,1348,1,733
771,10686,0,42,1,3217,0,2058
772,13285,1,42,1,2276,2,1246
773,10686,0,42,1,4049,1,2914
774,13285,1,42,1,1736,0,833
775,13285,1,42,1,1356,1,722
776,13285,1,42,1,1857,1,1190
777,8996,0,6,0,4235,0,3247
778,8996,0,6,0,680,0,85
779,8996,0,6,0,318,0,97
780,8996,0,6,0,371,0,74
781,8996,0,6,0,1446,0,920
782,8996,0,6,0,682,0,349
783,8996,0,6,0,404,0,113
784,8996,0,6,0,942,0,391
785,8996,0,6,0,860,0,497
786,8996,0,6,0,372,0,73
787,8996,0,6,0,1077,0,501
788,8996,0,6,0,1153,0,286
789,8996,0,6,0,1719,0,602
790,8996,0,6,0,796,0,114
791,8996,0,6,0,551,0,46
792,8996,0,6,0,565,0,66
793,8996,0,6,0,718,0,145
794,8996,0,6,0,1067,0,486
795,8996,0,6,0,862,0,342
796,8996,0,6,0,1113,0,258
797,8996,0,6,0,795,0,106
798,8996,0,6,0,851,0,300
799,1413,0,60,0,1481,6,650
800,1413,0,60,0,1516,5,448
801,1413,0,60,0,1832,5,324
803,490,0,10,0,911,0,273
804,490,0,10,0,608,3,218
805,394,0,10,0,908,0,394
806,597,0,10,0,936,15,609
807,177,0,10,0,627,0,177
814,1254,0,8,0,1519,2,1284
815,2023,0,10,0,676,1,332
816,2023,0,10,0,548,1,297
817,2023,0,10,0,671,2,296
818,2023,0,10,0,677,1,269
819,2023,0,10,0,769,1,365
820,2023,0,10,0,879,1,469
821,1415,0,2,0,1437,0,438
822,1415,0,2,0,1430,0,660
823,1415,0,2,0,1217,0,320
824,1535,0,6,0,869,1,432
825,3090,0,6,0,2780,2,2262
826,3090,0,6,0,1064,1,442
827,1535,0,6,0,715,2,197
828,1535,0,6,0,909,1,109
829,3090,0,6,0,1083,0,455
830,1535,0,6,0,1715,1,798
831,17573,0,9,0,4425,11,3028
832,17573,0,9,0,4954,9,3098
833,17573,0,9,0,5646,9,3610
834,17573,0,9,0,5011,10,3199
835,17573,0,9,0,5764,17,4769
836,1599,1,2,0,876,1,165
837,1599,1,2,0,750,0,175
838,1599,1,2,0,740,0,311
839,1599,1,2,0,605,0,99
840,1599,1,2,0,1013,0,250
841,1599,1,2,0,396,0,109
842,1599,1,2,0,675,1,120
843,1599,1,2,0,530,0,95
844,1599,1,2,0,1525,1,103
845,1599,1,2,0,356,0,76
846,1599,1,2,0,496,1,125
847,2378,0,1,0,779,0,385
850,584,0,1,0,722,0,310
851,584,0,1,0,718,1,124
852,584,0,1,0,388,1,153
853,14409,0,0,0,3512,2,2374
854,1447,0,19,2,1014,2,538
855,4019,0,2,0,1602,1,611
856,4019,0,2,0,574,1,238
857,4019,0,2,0,1152,2,658
858,4019,0,2,0,812,1,408
859,4019,0,2,0,1065,1,313
860,4019,0,2,0,758,2,280
861,4019,0,2,0,1256,1,837
862,4019,0,2,0,479,1,173
863,4019,0,2,0,947,1,525
864,1181,0,5,0,1227,0,386
866,1181,0,5,0,1124,1,244
868,1181,0,5,0,1114,0,309
869,1181,0,5,0,975,1,246
870,201,0,5,0,800,0,201
871,1620,0,2,1,1115,3,729
872,1620,0,2,1,553,1,439
873,1620,0,2,1,704,1,460
874,2172,0,7,0,567,0,221
875,2172,0,7,0,581,0,117
876,2172,0,7,0,1084,0,105
877,2172,0,7,0,631,0,104
878,2172,0,7,0,1238,1,571
879,2172,0,7,0,475,1,114
880,2485,0,7,0,1096,1,99
881,2485,0,7,0,2982,9,2475
882,2172,0,7,0,807,2,171
883,2172,0,7,0,551,1,75
885,2172,0,7,0,457,0,78
886,2172,0,7,0,452,1,49
887,2172,0,7,0,781,0,215
888,2172,0,7,0,1210,0,136
889,2172,0,7,0,1464,1,244
890,3032,0,14,1,2341,2,1966
891,3032,0,14,1,999,2,588
892,1945,0,14,1,1579,7,907
893,3032,0,14,1,921,1,487
894,1945,0,14,1,1129,3,595
895,1945,0,14,1,859,2,453
896,1608,0,2,0,914,6,1608
897,3315,0,1,0,2032,0,1708
898,3315,0,1,0,1056,2,720
899,3315,0,1,0,1385,0,949
900,2024,0,0,0,875,1,452
901,2024,0,0,0,868,2,640
902,2024,0,0,0,661,0,349
903,2024,0,0,0,975,1,596
904,8281,0,11,0,801,3,994
905,8281,0,11,0,433,3,238
906,8281,0,11,0,328,1,154
907,8281,0,11,0,398,1,150
908,8281,0,11,0,526,1,97
909,8281,0,11,0,534,2,130
910,8281,0,11,0,441,1,83
911,8281,0,11,0,700,1,98
912,8281,0,11,0,421,1,73
913,8281,0,11,0,496,2,141
914,8281,0,11,0,1171,2,162
915,8281,0,11,0,439,1,59
916,8281,0,11,0,497,2,146
917,8281,0,11,0,847,1,45
918,8281,0,11,0,556,1,62
919,8281,0,11,0,483,1,45
920,8281,0,11,0,418,1,52
921,8281,0,11,0,304,1,36
922,8281,0,11,0,597,1,24
923,8281,0,11,0,291,1,29
924,8281,0,11,0,670,1,277
925,8281,0,11,0,469,1,64
926,8281,0,11,0,373,1,69
927,8281,0,11,0,482,1,51
928,8281,0,11,0,275,1,42
929,8281,0,11,0,418,2,28
930,8281,0,11,0,591,2,146
931,8281,0,11,0,691,1,259
932,8281,0,11,0,347,1,41
933,8281,0,11,0,787,2,295
934,8281,0,11,0,372,1,28
935,8281,0,11,0,342,1,37
936,8281,0,11,0,654,1,39
937,8281,0,11,0,327,1,37
938,8281,0,11,0,495,1,26
939,8281,0,11,0,480,1,101
940,8281,0,11,0,7197,1,196
941,8281,0,11,0,9750,1,420
942,8281,0,11,0,394,2,233
943,8281,0,11,0,612,2,296
944,8281,0,11,0,1089,1,53
945,8281,0,11,0,419,1,72
946,8281,0,11,0,816,1,46
947,8281,0,11,0,569,1,84
948,8281,0,11,0,225,1,32
949,8281,0,11,0,324,1,44
950,8281,0,11,0,1247,1,43
951,8281,0,11,0,531,1,57
952,8281,0,11,0,772,3,235
953,8281,0,11,0,481,1,44
954,8281,0,11,0,350,1,41
955,8281,0,11,0,730,1,83
956,8281,0,11,0,408,1,51
957,8281,0,11,0,1066,1,40
958,8281,0,11,0,706,1,121
959,8281,0,11,0,606,1,132
960,8281,0,11,0,256,1,53
961,8281,0,11,0,266,1,41
962,8281,0,11,0,461,1,42
963,8281,0,11,0,460,1,26
964,8281,0,11,0,407,1,68
965,8281,0,11,0,582,1,249
966,8281,0,11,0,482,2,50
967,8281,0,11,0,307,1,34
968,8281,0,11,0,309,1,27
969,8281,0,11,0,471,1,29
970,8281,0,11,0,313,1,66
971,8281,0,11,0,477,1,111
972,8281,0,11,0,424,1,105
973,8281,0,11,0,581,1,77
974,8281,0,11,0,320,1,109
975,8281,0,11,0,615,1,205
976,8281,0,11,0,1092,1,217
977,8281,0,11,0,987,1,211
978,750,0,1,1,399,0,116
979,750,0,1,1,322,0,65
980,750,0,1,1,842,0,51
981,750,0,1,1,333,0,56
982,750,0,1,1,328,0,51
983,750,0,1,1,408,0,51
984,750,0,1,1,358,0,43
985,750,0,1,1,259,0,47
986,750,0,1,1,476,0,46
987,750,0,1,1,302,0,60
988,750,0,1,1,345,1,52
989,750,0,1,1,798,0,48
990,750,0,1,1,289,0,67
991,4404,0,4,0,845,1,256
992,4404,0,4,0,1654,2,917
993,4404,0,1,0,3913,7,3402
995,5921,0,12,2,3325,2,2753
996,193,0,12,2,553,1,193
997,5921,0,12,2,1930,2,1310
998,5921,0,12,2,1397,3,844
999,5921,0,12,2,1150,2,511
1000,5921,0,12,2,1130,3,504
1001,235,0,12,2,561,2,235
1002,211,0,12,2,573,2,211
1003,80,0,12,2,479,1,79
1004,71,0,12,2,541,1,71
1006,80,0,0,0,519,0,80
1007,838,0,22,5,1473,2,525
1009,838,0,22,5,648,4,319
1013,369,0,0,0,1064,2,368
1014,4051,0,14,4,744,4,770
1015,4051,0,14,4,507,3,626
1016,4051,0,14,4,1663,3,1642
1017,4051,0,14,4,476,3,445
1018,4051,0,14,4,623,3,592
1019,1447,0,19,2,647,1,181
1020,964,0,1,0,1533,2,774
1021,964,0,1,0,920,2,234
1022,1538,0,0,0,3320,4,796
1023,1538,0,0,0,2681,0,751
1024,376,0,2,0,410,1,376
1025,213,0,2,0,266,0,213
1026,283,0,2,0,357,1,283
1027,2166,0,12,2,1517,1,813
1028,2166,0,12,2,1335,0,978
1029,2166,0,12,2,1024,1,402
1030,395,0,3,0,374,0,164
1031,395,0,3,0,341,0,96
1032,395,0,3,0,308,0,69
1033,395,0,3,0,413,0,67
1034,643,2,11,0,1320,6,643
1035,143,0,11,0,601,2,143
1036,67,0,11,0,357,1,67
1037,138,0,11,0,411,1,138
1038,423,0,11,0,1404,2,423
1039,3007,0,64,1,4040,11,3030
1040,2166,0,64,1,8613,8,2166
1041,1478,0,3,0,2320,1,1510
1042,13220,4,29,1,3691,9,3292
1043,13220,4,29,1,3360,7,2124
1044,13220,4,29,1,2862,3,1604
1045,13220,4,29,1,2565,8,1957
1046,13220,4,29,1,2015,3,951
1047,13220,4,29,1,2983,4,2026
1048,13220,4,29,1,2335,2,1368
1049,748,0,5,0,584,6,474
1050,748,0,5,0,347,3,279
1051,2378,0,0,0,2677,4,1295
1052,1835,0,5,2,737,0,434
1058,1659,0,3,0,1533,1,656
1059,1659,0,3,0,946,0,378
